occurrence_date,time,reported_date,division,location_type,age,mental or physical disability,race,ethnicity,language,religion,sexual orientation,gender,multiple,primary_offence,neighbourhood,arrest
2014-08-01,1200,2020-04-30,D33,Religious Place of Worship/Cultural Centre,NO,NO,None,None,None,Jewish,None,None,No,Wilful Promotion of Hatred,Henry Farm (53),No
2016-09-01,0,2019-04-23,D53,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,None,None,None,No,Assault With a Weapon,North Toronto (173),No
2017-06-22,824,2018-04-19,D52,Streets/Roadways/Highway,NO,NO,None,None,None,None,None,Woman,No,Assault With a Weapon,Wellington Place (164),Yes
2017-09-05,900,2018-04-19,D53,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,None,None,None,Jewish,None,None,No,Mischief Under $5000,Mount Pleasant East (99),No
2017-11-15,0,2018-03-09,D53,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,None,None,None,Jewish,None,None,No,Mischief Under $5000,North Toronto (173),No
2017-12-18,0,2018-02-23,D32,Business/Retail,NO,NO,White,None,None,Jewish,None,None,Yes,Indecent Communications,Westminster-Branson (35),No
2017-12-29,1600,2018-01-02,D53,Other Commercial / Corporate Places ,NO,NO,None,None,None,Muslim,None,None,No,Mischief Under $5000,South Eglinton-Davisville (174),No
2018-01-03,1200,2018-01-05,D13,Other Commercial / Corporate Places ,NO,NO,None,None,None,Jewish,None,None,No,Wilful Promotion of Hatred,Forest Hill North (102),No
2018-01-10,2145,2018-01-10,D14,Public Transportation,NO,NO,Black,None,None,None,None,None,No,Mischief Under $5000,Annex (95),No
2018-01-19,1800,2018-01-20,D52,Public Transportation,NO,NO,None,None,None,Muslim,None,None,No,Assault,Bay-Cloverhill (169),No
2018-01-19,2021,2018-01-19,D12,Streets/Roadways/Highway,NO,NO,None,None,None,Jewish,None,None,No,Mischief Under $5000,Rustic (28),No
2018-01-26,1800,2018-01-28,D31,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,None,None,None,Jewish,None,None,No,Mischief Under $5000,Oakdale-Beverley Heights (154),No
2018-01-27,1158,2018-01-27,D51,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,Black,None,None,None,None,None,No,Mischief Under $5000,Moss Park (73),No
2018-02-01,1000,2018-02-01,D13,Business/Retail,NO,NO,None,None,None,Jewish,None,None,No,Uttering Threats - Bodily Harm,Forest Hill North (102),No
2018-02-01,127,2018-02-01,D12,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,None,None,None,None,2SLGBTQ+,None,No,Mischief Under $5000,Weston (113),No
2018-02-02,900,2018-02-09,D52,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,None,None,None,Muslim,None,None,No,Mischief Under $5000,University (79),No
2018-02-05,1257,2018-02-13,D43,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,Jewish,None,None,Yes,Mischief Under $5000,Highland Creek (134),No
2018-02-12,2140,2018-02-12,D51,Public Transportation,NO,NO,None,None,None,None,Gay,None,No,Assault,Downtown Yonge East (168),No
2018-02-16,1300,2018-02-16,D53,Other Commercial / Corporate Places ,NO,NO,None,None,None,Jewish,None,None,No,Uttering Threats - Bodily Harm,Yonge-Eglinton (100),No
2018-02-17,1755,2018-02-17,D22,Government Building,NO,NO,None,None,None,None,None,Transgender Woman (Identifies As Woman),No,Assault,Mimico-Queensway (160),No
2018-02-20,2136,2018-02-20,D52,Other Commercial / Corporate Places ,NO,NO,None,None,None,Jewish,None,None,No,Mischief Under $5000,Kensington-Chinatown (78),No
2018-02-21,900,2018-02-22,D55,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,None,None,None,Jewish,None,None,No,Mischief Under $5000,Old East York (58),No
2018-02-22,500,2018-02-22,D31,"Medical Facility (Hospitals, Long-term Care, etc.)",NO,NO,None,None,None,Jewish,None,None,No,Mischief Under $5000,Oakdale-Beverley Heights (154),No
2018-02-23,1610,2018-02-23,D51,Streets/Roadways/Highway,NO,NO,None,Chinese,None,None,None,None,No,Assault,Moss Park (73),Yes
2018-02-24,1045,2018-02-24,D32,Other Commercial / Corporate Places ,NO,NO,Black,None,None,Jewish,None,None,Yes,Mischief Under $5000,Lawrence Park North (105),No
2018-02-27,943,2018-02-27,D52,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,Black,None,None,None,None,None,No,Assault,Yonge-Bay Corridor (170),Yes
2018-03-01,1545,2018-03-01,D31,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,None,Iranian,None,None,None,None,No,Criminal Harassment,York University Heights (27),No
2018-03-05,1100,2018-03-05,D31,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,None,None,None,No,Mischief Interfere With Property,York University Heights (27),No
2018-03-06,1430,2018-03-06,D32,Religious Place of Worship/Cultural Centre,NO,NO,None,None,None,Jewish,None,None,No,Uttering Threats - Bodily Harm,Westminster-Branson (35),No
2018-03-06,700,2018-03-06,D53,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,Black,"Chinese, Arab",None,Jewish,None,None,Yes,Uttering Threats - Bodily Harm,North Toronto (173),No
2018-03-09,1900,2018-03-10,D11,Streets/Roadways/Highway,NO,NO,None,None,None,Jewish,None,None,No,Mischief Under $5000,South Parkdale (85),No
2018-03-16,1800,2018-03-17,D52,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,None,None,None,Jewish,None,None,No,Mischief Under $5000,Yonge-Bay Corridor (170),No
2018-03-22,620,2018-03-22,D31,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,Black,None,None,None,None,None,No,Mischief Under $5000,York University Heights (27),No
2018-03-27,2130,2018-03-30,D13,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,None,None,None,Jewish,None,None,No,Mischief Interfere With Property,Wychwood (94),No
2018-03-28,1357,2018-04-03,D31,Other Commercial / Corporate Places ,NO,NO,None,None,None,Jewish,None,None,No,Uttering Threats - Bodily Harm,Humber Summit (21),Yes
2018-03-28,1345,2018-05-08,D12,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,None,None,None,Jewish,None,None,No,Mischief Under $5000,Rockcliffe-Smythe (111),No
2018-04-08,1600,2018-04-09,D22,Religious Place of Worship/Cultural Centre,NO,NO,None,Korean,None,None,None,None,No,"Mischief To Religious Property, Educational Institutions, Etc.",Edenbridge-Humber Valley (9),No
2018-04-12,812,2018-04-12,D51,Streets/Roadways/Highway,NO,NO,None,None,None,None,None,Woman,No,Assault With a Weapon,Church-Wellesley (167),Yes
