occurrence_date,reported_date,division,location_type,bias,primary_offence,neighbourhood,arrest
2019-01-25,2018-02-09,D42,Streets/Roadways/Highway,RACE_BIAS,Mischief Over $5000,Agincourt South-Malvern West (128),No
2022-01-30,2022-10-11,D23,"Medical Facility (Hospitals, Long-term Care, etc.)",RACE_BIAS,Fail To Comply Probation,Guildwood (140),Yes
2024-07-13,2022-02-25,D11,Non-Commercial/Non for Profit,MENTAL_OR_PHYSICAL_DISABILITY,Harassing Communications,Broadview North (57),Yes
2019-10-29,2018-05-18,D42,Streets/Roadways/Highway,RELIGION_BIAS,Assault With a Weapon,Birchcliffe-Cliffside (122),No
2024-03-22,2024-05-13,D14,Public Transportation,LANGUAGE_BIAS,Wilful Promotion of Hatred,Tam O'Shanter-Sullivan (118),Yes
2022-08-12,2019-07-18,D32,Religious Place of Worship/Cultural Centre,RELIGION_BIAS,Causing a Disturbance,Yonge–Bay Corridor (170),Yes
2020-12-22,2019-10-15,D11,"Apartment Building (Condo, Retirement Buidling, etc.)",LANGUAGE_BIAS,Advocating Genocide,Oakridge (121),Yes
2018-02-27,2019-04-17,D11,Other Commercial / Corporate Places ,AGE_BIAS,Arson,High Park-Swansea (87),Yes
2023-11-27,2020-05-03,D31,"Educational Institution (Universities, Colleges, Schools, etc.)",RELIGION_BIAS,Theft,Lawrence Park North (105),No
2018-04-14,2019-03-26,D32,Public Transportation,LANGUAGE_BIAS,Mischief To Data,Wexford-Maryvale (119),No
2019-08-29,2020-06-08,D13,Non-Commercial/Non for Profit,MENTAL_OR_PHYSICAL_DISABILITY,Uttering Threats - Bodily Harm,Princess-Rosethorn (10),No
2021-06-28,2023-09-08,D23,Other Commercial / Corporate Places ,LANGUAGE_BIAS,Theft,Agincourt North (129),Yes
2021-03-19,2021-02-28,D23,"Apartment Building (Condo, Retirement Buidling, etc.)",AGE_BIAS,Mischief Interfere With Property,East End-Danforth (62),Yes
2024-12-16,2024-06-18,D31,Streets/Roadways/Highway,MENTAL_OR_PHYSICAL_DISABILITY,Fail To Comply Probation,Guildwood (140),Yes
2020-11-23,2021-02-23,D55,Public Transportation,LANGUAGE_BIAS,Criminal Harassment,Lawrence Park South (103),Yes
2020-11-21,2019-12-09,D41,Non-Commercial/Non for Profit,ETHNICITY_BIAS,Aggravated Assault,West Hill (136),No
2019-10-01,2023-07-10,D52,Other Commercial / Corporate Places ,GENDER_BIAS,Mischief Interfere With Property,Avondale (153),Yes
2023-01-19,2023-09-28,D11,Non-Commercial/Non for Profit,RACE_BIAS,Mischief Interfere With Property,Bayview Woods-Steeles (49),No
2022-02-18,2024-01-13,D51,"Government Building (Courthouse, Museums, Parliament Building, etc.)",RACE_BIAS,Public Incitement of Hatred ,Broadview North (57),Yes
2018-02-24,2024-03-25,D43,"Open Area, Park or Parking Lot",AGE_BIAS,Causing a Disturbance,Agincourt North (129),Yes
