"Neighbourhood_158","Count"
"Agincourt North (129)",5
"Agincourt South-Malvern West (128)",8
"Annex (95)",51
"Avondale (153)",7
"Banbury-Don Mills (42)",9
"Bathurst Manor (34)",32
"Bay-Cloverhill (169)",30
"Bayview Village (52)",5
"Bayview Woods-Steeles (49)",2
"Bedford Park-Nortown (39)",22
"Bendale South (157)",4
"Bendale-Glen Andrew (156)",9
"Birchcliffe-Cliffside (122)",10
"Black Creek (24)",3
"Blake-Jones (69)",12
"Briar Hill-Belgravia (108)",6
"Bridle Path-Sunnybrook-York Mills (41)",4
"Broadview North (57)",5
"Brookhaven-Amesbury (30)",2
"Cabbagetown-South St.James Town (71)",17
"Caledonia-Fairbank (109)",1
"Casa Loma (96)",8
"Centennial Scarborough (133)",3
"Church-Wellesley (167)",51
"Clairlea-Birchmount (120)",14
"Clanton Park (33)",18
"Cliffcrest (123)",6
"Corso Italia-Davenport (92)",3
"Danforth (66)",13
"Danforth East York (59)",10
"Don Valley Village (47)",8
"Dorset Park (126)",6
"Dovercourt Village (172)",20
"Downsview (155)",13
"Downtown Yonge East (168)",52
"Dufferin Grove (83)",5
"East End-Danforth (62)",20
"East L'Amoreaux (148)",7
"East Willowdale (152)",12
"Edenbridge-Humber Valley (9)",10
"Eglinton East (138)",4
"Elms-Old Rexdale (5)",3
"Englemount-Lawrence (32)",21
"Eringate-Centennial-West Deane (11)",8
"Etobicoke City Centre (159)",19
"Etobicoke West Mall (13)",4
"Fenside-Parkwoods (150)",4
"Flemingdon Park (44)",2
"Forest Hill North (102)",8
"Forest Hill South (101)",4
"Fort York-Liberty Village (163)",9
"Glenfield-Jane Heights (25)",6
"Golfdale-Cedarbrae-Woburn (141)",5
"Greenwood-Coxwell (65)",17
"Guildwood (140)",2
"Harbourfront-CityPlace (165)",23
"Henry Farm (53)",4
"High Park North (88)",25
"High Park-Swansea (87)",9
"Highland Creek (134)",7
"Hillcrest Village (48)",6
"Humber Bay Shores (161)",5
"Humber Heights-Westmount (8)",2
"Humber Summit (21)",3
"Humbermede (22)",2
"Humewood-Cedarvale (106)",13
"Ionview (125)",1
"Islington (158)",10
"Junction Area (90)",5
"Junction-Wallace Emerson (171)",21
"Keelesdale-Eglinton West (110)",2
"Kennedy Park (124)",11
"Kensington-Chinatown (78)",32
"Kingsview Village-The Westway (6)",4
"Kingsway South (15)",7
"L'Amoreaux West (147)",4
"Lansing-Westgate (38)",9
"Lawrence Park North (105)",13
"Lawrence Park South (103)",9
"Leaside-Bennington (56)",4
"Little Portugal (84)",7
"Long Branch (19)",8
"Malvern East (146)",5
"Malvern West (145)",5
"Maple Leaf (29)",1
"Markland Wood (12)",7
"Milliken (130)",4
"Mimico-Queensway (160)",13
"Morningside (135)",4
"Morningside Heights (144)",3
"Moss Park (73)",38
"Mount Dennis (115)",3
"Mount Olive-Silverstone-Jamestown (2)",3
"Mount Pleasant East (99)",12
"New Toronto (18)",11
"Newtonbrook East (50)",11
"Newtonbrook West (36)",27
"North Riverdale (68)",13
"North St.James Town (74)",19
"North Toronto (173)",13
"O'Connor-Parkview (54)",9
"Oakdale-Beverley Heights (154)",25
"Oakridge (121)",3
"Oakwood Village (107)",9
"Old East York (58)",4
"Palmerston-Little Italy (80)",9
"Parkwoods-O'Connor Hills (149)",1
"Pelmo Park-Humberlea (23)",5
"Playter Estates-Danforth (67)",7
"Pleasant View (46)",3
"Princess-Rosethorn (10)",5
"Regent Park (72)",14
"Rexdale-Kipling (4)",2
"Rockcliffe-Smythe (111)",8
"Roncesvalles (86)",11
"Rosedale-Moore Park (98)",25
"Runnymede-Bloor West Village (89)",10
"Rustic (28)",7
"Scarborough Village (139)",6
"South Eglinton-Davisville (174)",5
"South Parkdale (85)",14
"South Riverdale (70)",22
"St Lawrence-East Bayfront-The Islands (166)",32
"St.Andrew-Windfields (40)",20
"Steeles (116)",4
"Stonegate-Queensway (16)",17
"Tam O'Shanter-Sullivan (118)",6
"Taylor-Massey (61)",8
"The Beaches (63)",13
"Thorncliffe Park (55)",8
"Trinity-Bellwoods (81)",10
"University (79)",35
"Victoria Village (43)",5
"Wellington Place (164)",31
"West Hill (136)",11
"West Humber-Clairville (1)",9
"West Queen West (162)",6
"West Rouge (143)",4
"Westminster-Branson (35)",15
"Weston (113)",9
"Weston-Pelham Park (91)",5
"Wexford/Maryvale (119)",15
"Willowdale West (37)",18
"Willowridge-Martingrove-Richview (7)",3
"Woburn North (142)",4
"Woodbine Corridor (64)",4
"Woodbine-Lumsden (60)",5
"Wychwood (94)",12
"Yonge-Bay Corridor (170)",70
"Yonge-Doris (151)",12
"Yonge-Eglinton (100)",14
"Yonge-St.Clair (97)",7
"York University Heights (27)",50
"Yorkdale-Glen Park (31)",31
